Branch,Cutoff,Category,College,College Code,Location
BT,30202,GMK,R. V. College of Engineering,E005,Bangalore
CE,18520,GMK,R. V. College of Engineering,E005,Bangalore
CH,,GMK,R. V. College of Engineering,E005,Bangalore
CS,436,GMK,R. V. College of Engineering,E005,Bangalore
EC,1453,GMK,R. V. College of Engineering,E005,Bangalore
EE,,GMK,R. V. College of Engineering,E005,Bangalore
EI,32168,GMK,R. V. College of Engineering,E005,Bangalore
ET,13954,GMK,R. V. College of Engineering,E005,Bangalore
IE,,GMK,R. V. College of Engineering,E005,Bangalore
IM,30061,GMK,R. V. College of Engineering,E005,Bangalore
ME,19277,GMK,R. V. College of Engineering,E005,Bangalore
SE,,GMK,R. V. College of Engineering,E005,Bangalore
AD,1004,GM,M S Ramaiah Institute of Technology,E006,Bangalore
AI,929,GM,M S Ramaiah Institute of Technology,E006,Bangalore
BT,6131,GM,M S Ramaiah Institute of Technology,E006,Bangalore
CA CS,599,GM,M S Ramaiah Institute of Technology,E006,Bangalore
CE,22369,GM,M S Ramaiah Institute of Technology,E006,Bangalore
CH,14466,GM,M S Ramaiah Institute of Technology,E006,Bangalore
CS,476,GM,M S Ramaiah Institute of Technology,E006,Bangalore
CY CS,904,GM,M S Ramaiah Institute of Technology,E006,Bangalore
EC,1722,GM,M S Ramaiah Institute of Technology,E006,Bangalore
EE,3858,GM,M S Ramaiah Institute of Technology,E006,Bangalore
EI,7839,GM,M S Ramaiah Institute of Technology,E006,Bangalore
ET,4504,GM,M S Ramaiah Institute of Technology,E006,Bangalore
IE,863,GM,M S Ramaiah Institute of Technology,E006,Bangalore
IM,22050,GM,M S Ramaiah Institute of Technology,E006,Bangalore
MD,12744,GM,M S Ramaiah Institute of Technology,E006,Bangalore
ME,11755,GM,M S Ramaiah Institute of Technology,E006,Bangalore
AD,2664,1G,M S Ramaiah Institute of Technology,E006,Bangalore
AI,,1G,M S Ramaiah Institute of Technology,E006,Bangalore
BT,11618,1G,M S Ramaiah Institute of Technology,E006,Bangalore
CA CS,2154,1G,M S Ramaiah Institute of Technology,E006,Bangalore
CE,25032,1G,M S Ramaiah Institute of Technology,E006,Bangalore
CH,16391,1G,M S Ramaiah Institute of Technology,E006,Bangalore
CS,1024,1G,M S Ramaiah Institute of Technology,E006,Bangalore
CY CS,2564,1G,M S Ramaiah Institute of Technology,E006,Bangalore
EC,3773,1G,M S Ramaiah Institute of Technology,E006,Bangalore
EE,15044,1G,M S Ramaiah Institute of Technology,E006,Bangalore
EI,22046,1G,M S Ramaiah Institute of Technology,E006,Bangalore
ET,16390,1G,M S Ramaiah Institute of Technology,E006,Bangalore
IE,2163,1G,M S Ramaiah Institute of Technology,E006,Bangalore
IM,40085,1G,M S Ramaiah Institute of Technology,E006,Bangalore
MD,23665,1G,M S Ramaiah Institute of Technology,E006,Bangalore
ME,26691,1G,M S Ramaiah Institute of Technology,E006,Bangalore
AD,2888,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
AI,2914,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
BT,9839,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
CA CS,2653,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
CE,27727,2AG,M S Ramaiah Institute of Technology,E006,Bangalore
